ciudad,latitud,longitud,h
Bogota,4.653074,-74.106448,
Medellin,6.25204,-75.582588,
Cucuta,7.906564,-72.5097,
Ibague,4.431797,-75.198797,
Valledupar,10.469062,-73.255675,
Pereira,4.803405,-75.716337,
Manizales,5.057924,-75.500295,
Buenaventura,3.879256,-77.008785,
Inirida,3.865814,-67.924432,
Leticia,-4.208594,-69.943431,
Mocoa,1.151397,-76.648995,
Neiva,2.941732,-75.286125,
Palmira,3.536125,-76.299718,
Pamplona,7.372149,-72.650551,
Quibdo,5.692077,-76.653716,
Rionegro,6.148405,-75.378508,
Sogamoso,5.729765,-72.927993,
Tumaco,1.775423,-78.78793,
Zipaquira,5.021561,-73.995758,
